RecallNo,y2k,Manufacturer,Type,Prname,Seqid,Hazard,Country_mfg,Recdate
10703,110013,,,,12182,Fire & Fire-Related Burn,,
10019,110019,,DVD/CD/MP3 Players,,12201,,,
10022,110022,,,,12208,,France,
10051,110051,,,,12323,Entrapment,,
10056,110056,,Swings Baby/Cradle),,12335,,,
10066,110066,,,,12364,,United States,
10068,110068,,,,12369,,Taiwan,
10089,110089,,,,12417,Choking,,
10035,110035,,Audio/Video Systems & Accessories,,12550,,Mexico,
99012,99012,,,400 SZ Fisher-Price Power Wheels battery-powered ride-on cars/trucks,667,,,
76013,76013,,,57th Street wool shag pile carpets,358,Fire & Fire-Related Burn,,1976-02-12
93018,93018,,,911 Emergency Phone Center telephone toys,570,,,
88113,88113,,Toy Cars,Acme Plastic Racing Car carnival prize toys,5668,,,
88113,88113,,Toy Trucks,Acme Plastic Speedcycle carnival prize toys,5670,,,
02548,102191,,,Acuity Lighting High Intensity Discharge Luminaire optical assemblies,6299,Laceration,,
02223,102223,,,Adams Quik Fold Cafe Chair Set plastic folding chairs,6362,Fall,,
75053,75053,,,Adirondack aluminum baseball bats with rubber grips,543,,,
01141,101141,,,Aeris Atmos scuba buoyancy compensator devices (BCDs),3857,,,
90047,90047,,,Al E. Kat Cat stuffed animal toys,267,Choking,,1990-03-14
02104,102104,,,Alpha Champion Pedal Cars,6405,,,
02104,102104,,,Alpha Citgo Pedal Cars,6400,,,
02104,102104,,,Alpha Emergency 911 Pedal Cars,6398,,,
02104,102104,,,Alpha Fire Truck Pedal Cars,6408,,,
02104,102104,,,Alpha Highway Patrol Pedal Cars,6397,,,
02104,102104,,,Alpha John Deere Pedal Cars,6406,,,
02104,102104,,,Alpha NYPD Pedal Cars,6396,,,
02104,102104,,,Alpha Raley's  Keebler Pedal Cars,6410,,,
02104,102104,,,Alpha Raley's Coca-Cola Pedal Cars,6404,,,
02104,102104,,,Alpha Red Lion Pedal Cars,6409,,,
02104,102104,,,Alpha Texaco Pedal Cars,6407,,,
01189,101189,,,Amana Furnaces,3756,,,
06054,106054,,,"Amazing Baby Touch and Play, Rattle Rattle Children's Books",8427,,,
01189,101189,,,American Best Furnaces,3752,,,
