RecallNo,y2k,Manufacturer,Type,Prname,Seqid,Hazard,Country_mfg,Recdate
99080,99080,,,Giant bicycles,720,,,
01124,101124,,,Gil Wax disposable lighters,339,Fire & Fire-Related Burn,,2001-04-17
74026,74026,,Purses,Goatskin Balancers,1476,,,
74026,74026,,,Goatskin bongo drums,3792,,,
74026,74026,,Carpets/Rugs,Goatskin hassocks,1477,,,
74026,74026,,,Goatskin ladies' purses,3790,,,
74026,74026,,,Goatskin small rugs,3789,,,
74026,74026,,,Goatskin wall coverings,3791,,,
74026,74026,,Decorations,Goatskin wineskins,1478,,,
01189,101189,,,Goettl Furnaces,3753,,,
94056,94056,,,Golden Apple American Spirit disposable tractor trailer cigarette lighters,372,Fire & Fire-Related Burn,,1994-04-07
94056,94056,,,Golden Apple Midnight Rider disposable tractor trailer cigarette lighters,373,Fire & Fire-Related Burn,,1994-04-07
92105,92105,,,Golden Sparkling Lite fireworks devices,475,Laceration,,1992-06-29
90076,90076,,,Goods Train wooden trains,343,Choking,,1990-04-18
93088,93088,,,Gorilla Bomb II seven-shot rack fireworks display devices,1393,,,
93088,93088,,,Gorilla Bomb seven-shot rack fireworks display devices,1392,,,
99162,99162,,,Graco Bathtime Activity Trays,3734,,,
90157,90157,,,Graco Brougham strollers,292,Laceration,,1990-10-09
02180,102180,,,Graco Convertible Entertainer Activity Centers,6438,,,
90157,90157,,,Graco Elite strollers,294,Amputation,,1990-10-09
04064,104064,,High Chairs,Graco High Chairs,7303,,,
90157,90157,,,Graco Premier Strollers,295,,,
90157,90157,,,Graco Regency Premier strollers,290,Laceration,,1990-10-09
90157,90157,,,Graco Regency strollers,291,Laceration,,1990-10-09
90157,90157,,,Graco Stroll-A-Bed strollers,293,Laceration,,1990-10-09
04064,104064,,Baby Walkers/Stationary Entertainers,Graco Tot Wheels Mobile Entertainers,7302,,,
98123,98123,,,Ground Control Specialized bicycle chains,7007,,,
92058,92058,,,Grumbacher Camel hair paint brushes,1365,,,
92058,92058,,,Grumbacher Sable hair paint brushes,3422,,,
99080,99080,,,GT bicycles,719,,,
84045,84045,,,Gulf's Cruisemaster electric pressure washers,1320,,,
08380,108380,,Pacifiers & Accessories,"Habermaass Haba Bearr Pacifier Holder, Bonita, Bella, Pirate Joe, Rally, Flori, Triola, Speedy, Discovery Ball ",10869,,,
08380,108380,,Toy Miscellaneous,"Habermaass Haba Triolino Puzzle, LUCY, Little Heart Stroller, Belinda, Miro Clutching Toy Stroller Toys",10867,,,
98153,98153,,,Habitat wooden bunk beds,645,Entrapment,,1998-08-19
10002,110002,,,Halcyon Diver Lift Raft Inflatable Devices,12149,,,
10002,110002,,,"Halcyon Explorer, Eclipse, CCR35, Evolve and Pioneer Buoyancy Compensator Devices (BCDs)",12146,,,
10002,110002,,,"Halcyon Lift Bags, Diver Alert Markers (DAMs) Surf Shuttle ",12148,,,
